campus,entorno_vivienda,es_numerosa,educacion_madre,educacion_padre,ocupacion_madre,ocupacion_padre,razon_matricula,interes_educacion_superior,internet_casa,tiempo_viaje,tiempo_estudio,apoyo_escolar,apoyo_familiar,actividades,relacion_romantica,consumo_alcohol_entre_semana,consumo_alcohol_fin_de_semana,suspensos,faltas,nota1,nota2,nota3,educacion_media,notas_media
A Coruña,urbano,1,2.0,2.0,otro,otro,cerca_casa,1,1,1.0,1.0,0,1,0,0,1.0,2.0,0.0,8.0,11.0,12.0,12.0,2.0,11.666666666666666
A Coruña,urbano,0,2.0,4.0,otro,salud,curso,1,1,2.0,2.0,0,1,1,1,1.0,2.0,0.0,2.0,14.0,12.0,13.0,3.0,13.0
A Coruña,urbano,1,2.0,1.0,otro,otro,curso,1,1,3.0,1.0,0,0,0,0,1.0,1.0,0.0,7.0,15.0,16.0,16.0,1.5,15.666666666666666
Vigo,urbano,1,2.0,3.0,otro,servicios,cerca_casa,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,14.0,15.0,16.0,2.5,15.0
A Coruña,urbano,1,3.0,3.0,servicios,servicios,otro,1,1,1.0,2.0,0,1,1,1,2.0,3.0,0.0,6.0,11.0,13.0,14.0,3.0,12.666666666666666
Vigo,urbano,1,2.0,3.0,en_casa,servicios,curso,1,1,2.0,1.0,0,1,0,1,1.0,2.0,0.0,0.0,10.0,10.0,10.0,2.5,10.0
A Coruña,urbano,1,4.0,4.0,servicios,profesor,cerca_casa,1,1,1.0,1.0,0,0,0,0,1.0,2.0,0.0,4.0,13.0,13.0,14.0,4.0,13.333333333333334
A Coruña,urbano,1,1.0,2.0,otro,otro,curso,0,1,1.0,1.0,0,0,0,0,1.0,2.0,0.0,4.0,12.0,11.0,11.0,1.5,11.333333333333334
Vigo,urbano,0,1.0,1.0,en_casa,otro,otro,1,1,3.0,2.0,0,1,0,0,1.0,3.0,0.0,6.0,6.0,8.0,8.0,1.0,7.333333333333333
A Coruña,rural,1,4.0,3.0,profesor,otro,reputacion_centro,1,1,2.0,3.0,0,1,1,1,1.0,1.0,0.0,0.0,11.0,12.0,12.0,3.5,11.666666666666666
Vigo,rural,0,2.0,2.0,otro,otro,cerca_casa,1,0,3.0,1.0,0,1,1,1,1.0,1.0,0.0,0.0,14.0,14.0,16.0,2.0,14.666666666666666
A Coruña,urbano,1,4.0,4.0,profesor,profesor,curso,1,1,2.0,1.0,0,0,1,0,1.0,1.0,0.0,6.0,13.0,14.0,14.0,4.0,13.666666666666666
A Coruña,urbano,0,2.0,2.0,otro,otro,reputacion_centro,1,1,2.0,2.0,0,1,1,0,2.0,4.0,0.0,2.0,10.0,10.0,10.0,2.0,10.0
A Coruña,urbano,1,1.0,1.0,otro,servicios,curso,1,0,1.0,2.0,0,1,0,0,1.0,2.0,0.0,4.0,11.0,10.0,11.0,1.0,10.666666666666666
Vigo,rural,1,4.0,4.0,profesor,servicios,otro,1,1,2.0,2.0,0,1,1,0,1.0,2.0,0.0,2.0,12.0,12.0,12.0,4.0,12.0
A Coruña,urbano,1,4.0,4.0,profesor,servicios,cerca_casa,1,1,1.0,2.0,0,1,1,0,2.0,2.0,0.0,0.0,13.0,13.0,14.0,4.0,13.333333333333334
A Coruña,urbano,1,4.0,2.0,profesor,otro,cerca_casa,1,0,1.0,2.0,0,1,0,0,2.0,2.0,0.0,4.0,11.0,12.0,13.0,3.0,12.0
A Coruña,urbano,1,4.0,4.0,otro,profesor,curso,1,0,1.0,1.0,1,1,0,1,1.0,1.0,0.0,0.0,13.0,13.0,13.0,4.0,13.0
Vigo,rural,1,1.0,1.0,en_casa,en_casa,curso,0,1,2.0,1.0,0,1,1,1,2.0,2.0,0.0,3.0,10.0,11.0,10.0,1.0,10.333333333333334
Vigo,rural,0,1.0,3.0,en_casa,otro,reputacion_centro,1,1,3.0,1.0,0,1,1,0,3.0,6.0,0.0,2.0,11.0,12.0,12.0,2.0,11.666666666666666
Vigo,urbano,1,1.0,1.0,otro,en_casa,curso,1,0,1.0,1.0,0,1,1,0,1.0,2.0,0.0,9.0,7.0,9.0,10.0,1.0,8.666666666666666
A Coruña,urbano,0,2.0,2.0,servicios,servicios,cerca_casa,1,1,2.0,2.0,0,0,1,0,1.0,3.0,0.0,2.0,13.0,12.0,13.0,2.0,12.666666666666666
A Coruña,urbano,1,4.0,4.0,servicios,servicios,curso,1,1,1.0,3.0,0,1,1,0,1.0,3.0,0.0,0.0,15.0,13.0,13.0,4.0,13.666666666666666
A Coruña,rural,1,3.0,2.0,en_casa,servicios,cerca_casa,1,0,1.0,1.0,0,1,0,1,2.0,2.0,0.0,0.0,11.0,10.0,10.0,2.5,10.333333333333334
Vigo,urbano,0,3.0,1.0,profesor,servicios,curso,1,1,1.0,2.0,0,1,0,0,1.0,1.0,0.0,4.0,15.0,15.0,16.0,2.0,15.333333333333334
A Coruña,urbano,1,4.0,3.0,profesor,otro,cerca_casa,1,1,1.0,2.0,0,1,1,0,2.0,3.0,0.0,4.0,11.0,10.0,11.0,3.5,10.666666666666666
A Coruña,urbano,1,4.0,4.0,servicios,servicios,reputacion_centro,1,1,2.0,2.0,0,0,0,1,2.0,3.0,0.0,4.0,12.0,11.0,12.0,4.0,11.666666666666666
A Coruña,urbano,1,1.0,1.0,otro,otro,cerca_casa,1,1,2.0,2.0,1,0,1,0,1.0,1.0,0.0,0.0,12.0,13.0,13.0,1.0,12.666666666666666
Vigo,rural,1,2.0,3.0,en_casa,servicios,curso,1,0,2.0,2.0,0,0,0,0,1.0,2.0,0.0,0.0,16.0,17.0,17.0,2.5,16.666666666666668
A Coruña,rural,1,4.0,2.0,otro,otro,curso,1,1,1.0,3.0,0,1,1,0,1.0,3.0,0.0,2.0,11.0,12.0,14.0,3.0,12.333333333333334
A Coruña,rural,1,3.0,2.0,otro,otro,curso,1,0,1.0,3.0,0,0,1,0,1.0,1.0,0.0,2.0,10.0,11.0,12.0,2.5,11.0
A Coruña,urbano,0,4.0,3.0,profesor,otro,curso,1,1,1.0,1.0,0,0,1,0,1.0,1.0,0.0,7.0,14.0,14.0,15.0,3.5,14.333333333333334
A Coruña,urbano,0,4.0,4.0,profesor,profesor,reputacion_centro,1,1,1.0,2.0,0,1,0,0,1.0,2.0,0.0,0.0,11.0,10.0,11.0,4.0,10.666666666666666
A Coruña,urbano,0,2.0,1.0,otro,otro,curso,1,1,1.0,2.0,0,0,1,1,1.0,2.0,0.0,0.0,13.0,14.0,16.0,1.5,14.333333333333334
Vigo,rural,0,1.0,2.0,en_casa,otro,curso,0,1,1.0,2.0,0,0,1,0,1.0,3.0,0.0,0.0,8.0,9.0,9.0,1.5,8.666666666666666
A Coruña,urbano,1,4.0,2.0,otro,otro,reputacion_centro,1,1,2.0,3.0,0,1,0,0,1.0,1.0,0.0,0.0,16.0,16.0,16.0,3.0,16.0
A Coruña,rural,1,2.0,2.0,otro,servicios,otro,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,10.0,10.0,2.0,9.666666666666666
A Coruña,rural,1,3.0,1.0,otro,otro,reputacion_centro,1,1,1.0,2.0,0,0,1,1,1.0,1.0,0.0,4.0,8.0,8.0,8.0,2.0,8.0
Vigo,urbano,1,3.0,1.0,otro,servicios,cerca_casa,1,0,2.0,1.0,0,1,0,0,1.0,3.0,0.0,0.0,10.0,9.0,11.0,2.0,10.0
A Coruña,urbano,0,1.0,1.0,en_casa,en_casa,curso,1,1,1.0,3.0,0,1,1,1,1.0,2.0,0.0,10.0,11.0,10.0,10.0,1.0,10.333333333333334
Vigo,urbano,1,1.0,1.0,otro,otro,cerca_casa,1,1,1.0,2.0,0,0,0,0,2.0,4.0,0.0,4.0,8.0,9.0,9.0,1.0,8.666666666666666
A Coruña,urbano,0,2.0,2.0,otro,otro,cerca_casa,1,1,1.0,2.0,0,0,1,1,1.0,1.0,0.0,0.0,10.0,9.0,12.0,2.0,10.333333333333334
Vigo,rural,1,2.0,2.0,en_casa,otro,curso,1,1,2.0,2.0,0,1,0,0,1.0,2.0,0.0,0.0,11.0,10.0,11.0,2.0,10.666666666666666
A Coruña,rural,1,3.0,4.0,servicios,profesor,curso,1,1,2.0,3.0,0,1,0,1,2.0,2.0,0.0,0.0,10.0,11.0,12.0,3.5,11.0
A Coruña,urbano,1,1.0,2.0,en_casa,otro,cerca_casa,0,1,2.0,1.0,0,0,0,0,2.0,4.0,0.0,10.0,10.0,10.0,11.0,1.5,10.333333333333334
Vigo,urbano,0,4.0,3.0,otro,otro,curso,1,1,1.0,1.0,0,0,1,0,1.0,5.0,0.0,8.0,14.0,12.0,13.0,3.5,13.0
Vigo,urbano,0,1.0,3.0,en_casa,servicios,curso,0,1,1.0,1.0,0,0,0,1,2.0,3.0,0.0,0.0,9.0,10.0,9.0,2.0,9.333333333333334
Vigo,rural,1,1.0,3.0,en_casa,otro,curso,1,0,2.0,2.0,0,1,0,0,2.0,4.0,0.0,0.0,8.0,10.0,9.0,2.0,9.0
Vigo,rural,0,4.0,1.0,salud,servicios,reputacion_centro,1,1,1.0,2.0,0,1,1,0,1.0,2.0,0.0,0.0,12.0,13.0,14.0,2.5,13.0
A Coruña,rural,1,1.0,1.0,otro,otro,reputacion_centro,1,1,2.0,3.0,0,0,0,1,1.0,3.0,0.0,8.0,11.0,15.0,15.0,1.0,13.666666666666666
Vigo,urbano,1,4.0,4.0,otro,profesor,curso,1,0,1.0,2.0,0,1,1,1,1.0,1.0,0.0,0.0,13.0,12.0,13.0,4.0,12.666666666666666
A Coruña,urbano,1,2.0,2.0,otro,otro,curso,1,0,1.0,2.0,0,1,0,1,1.0,1.0,0.0,4.0,14.0,13.0,13.0,2.0,13.333333333333334
A Coruña,urbano,1,4.0,4.0,salud,salud,reputacion_centro,1,1,1.0,2.0,0,1,0,1,1.0,1.0,0.0,0.0,16.0,16.0,17.0,4.0,16.333333333333332
A Coruña,urbano,1,3.0,1.0,servicios,servicios,curso,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,17.0,18.0,17.0,2.0,17.333333333333332
A Coruña,urbano,1,3.0,4.0,otro,otro,reputacion_centro,1,1,1.0,1.0,0,0,0,0,1.0,2.0,0.0,2.0,14.0,13.0,14.0,3.5,13.666666666666666
Vigo,urbano,1,4.0,4.0,profesor,servicios,curso,1,1,2.0,3.0,0,1,0,1,1.0,4.0,0.0,1.0,10.0,11.0,12.0,4.0,11.0
A Coruña,urbano,0,4.0,3.0,servicios,otro,reputacion_centro,1,1,1.0,2.0,0,1,1,0,1.0,2.0,0.0,6.0,12.0,12.0,13.0,3.5,12.333333333333334
A Coruña,urbano,1,2.0,3.0,servicios,servicios,curso,1,1,1.0,2.0,0,0,0,0,1.0,1.0,0.0,6.0,12.0,12.0,13.0,2.5,12.333333333333334
A Coruña,urbano,1,3.0,4.0,servicios,otro,curso,1,1,1.0,3.0,0,0,0,0,1.0,3.0,0.0,8.0,11.0,13.0,14.0,3.5,12.666666666666666
A Coruña,urbano,0,4.0,3.0,salud,otro,reputacion_centro,1,1,1.0,2.0,0,0,1,1,1.0,2.0,0.0,0.0,14.0,12.0,12.0,3.5,12.666666666666666
A Coruña,urbano,1,2.0,3.0,en_casa,otro,curso,1,1,1.0,3.0,0,1,0,0,1.0,2.0,0.0,0.0,11.0,12.0,14.0,2.5,12.333333333333334
A Coruña,urbano,1,4.0,3.0,profesor,otro,curso,1,1,2.0,2.0,0,1,0,0,1.0,2.0,0.0,0.0,12.0,12.0,13.0,3.5,12.333333333333334
A Coruña,urbano,1,4.0,2.0,profesor,servicios,cerca_casa,1,1,2.0,2.0,0,1,1,0,1.0,1.0,0.0,2.0,13.0,14.0,14.0,3.0,13.666666666666666
A Coruña,rural,1,1.0,1.0,otro,otro,reputacion_centro,1,1,1.0,2.0,1,1,0,1,2.0,4.0,0.0,2.0,13.0,11.0,11.0,1.0,11.666666666666666
A Coruña,rural,0,3.0,2.0,servicios,otro,reputacion_centro,1,1,2.0,3.0,0,1,1,0,1.0,1.0,0.0,0.0,14.0,15.0,15.0,2.5,14.666666666666666
A Coruña,urbano,1,4.0,2.0,otro,otro,reputacion_centro,1,1,1.0,3.0,0,1,1,0,1.0,3.0,0.0,4.0,15.0,15.0,15.0,3.0,15.0
A Coruña,urbano,1,1.0,1.0,servicios,profesor,reputacion_centro,1,1,1.0,3.0,0,1,0,0,1.0,1.0,0.0,0.0,13.0,13.0,14.0,1.0,13.333333333333334
A Coruña,urbano,0,2.0,4.0,servicios,servicios,curso,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0,14.0,15.0,16.0,3.0,15.0
A Coruña,urbano,1,2.0,2.0,otro,otro,cerca_casa,1,1,1.0,2.0,0,0,0,1,1.0,1.0,0.0,0.0,12.0,11.0,11.0,2.0,11.333333333333334
Vigo,urbano,0,4.0,4.0,servicios,otro,reputacion_centro,1,1,1.0,1.0,0,1,1,0,1.0,1.0,0.0,3.0,17.0,17.0,17.0,4.0,17.0
Vigo,urbano,1,3.0,3.0,servicios,servicios,curso,1,0,1.0,2.0,0,1,0,1,1.0,1.0,0.0,0.0,10.0,10.0,10.0,3.0,10.0
A Coruña,urbano,1,1.0,1.0,en_casa,otro,curso,1,1,3.0,1.0,0,1,1,1,1.0,2.0,0.0,6.0,11.0,12.0,13.0,1.0,12.0
Vigo,rural,1,3.0,3.0,en_casa,otro,curso,1,1,2.0,1.0,0,1,0,0,2.0,3.0,0.0,4.0,10.0,10.0,11.0,3.0,10.333333333333334
Vigo,urbano,1,2.0,2.0,servicios,otro,curso,1,0,1.0,1.0,0,1,1,1,1.0,2.0,0.0,0.0,17.0,16.0,16.0,2.0,16.333333333333332
A Coruña,urbano,0,4.0,4.0,salud,servicios,curso,1,1,1.0,1.0,0,1,1,0,1.0,3.0,0.0,0.0,12.0,13.0,12.0,4.0,12.333333333333334
A Coruña,urbano,1,1.0,1.0,otro,servicios,curso,1,1,1.0,2.0,0,1,0,0,1.0,2.0,0.0,0.0,12.0,12.0,12.0,1.0,12.0
A Coruña,urbano,1,3.0,3.0,otro,otro,reputacion_centro,1,0,3.0,2.0,1,1,1,0,1.0,1.0,0.0,2.0,13.0,14.0,14.0,3.0,13.666666666666666
A Coruña,urbano,1,2.0,3.0,otro,otro,curso,1,1,2.0,2.0,0,0,1,1,1.0,1.0,0.0,2.0,11.0,12.0,14.0,2.5,12.333333333333334
A Coruña,urbano,0,1.0,1.0,otro,en_casa,cerca_casa,1,0,1.0,3.0,0,1,0,0,2.0,3.0,0.0,4.0,11.0,12.0,14.0,1.0,12.333333333333334
Vigo,rural,1,2.0,2.0,otro,otro,curso,0,0,2.0,1.0,0,0,1,1,3.0,5.0,0.0,0.0,8.0,13.0,10.0,2.0,10.333333333333334
A Coruña,urbano,1,4.0,4.0,profesor,servicios,cerca_casa,1,1,1.0,3.0,0,1,1,0,1.0,1.0,0.0,4.0,15.0,16.0,16.0,4.0,15.666666666666666
A Coruña,urbano,1,1.0,1.0,en_casa,otro,cerca_casa,1,0,2.0,1.0,0,1,0,0,1.0,4.0,0.0,2.0,12.0,13.0,13.0,1.0,12.666666666666666
A Coruña,urbano,0,2.0,2.0,otro,otro,cerca_casa,1,1,1.0,2.0,0,0,0,0,1.0,1.0,0.0,0.0,13.0,12.0,13.0,2.0,12.666666666666666
A Coruña,rural,1,4.0,4.0,profesor,profesor,curso,1,1,1.0,1.0,0,0,1,0,2.0,5.0,0.0,8.0,14.0,14.0,15.0,4.0,14.333333333333334
Vigo,urbano,1,1.0,1.0,en_casa,otro,curso,1,0,1.0,2.0,0,1,0,1,2.0,1.0,0.0,0.0,13.0,14.0,15.0,1.0,14.0
A Coruña,urbano,1,4.0,4.0,profesor,profesor,reputacion_centro,1,1,1.0,2.0,1,1,1,1,1.0,3.0,0.0,0.0,13.0,13.0,13.0,4.0,13.0
A Coruña,urbano,1,3.0,2.0,servicios,otro,curso,0,1,2.0,1.0,0,0,0,0,2.0,4.0,0.0,8.0,7.0,8.0,7.0,2.5,7.333333333333333
Vigo,rural,1,1.0,1.0,en_casa,otro,otro,1,0,2.0,1.0,0,0,1,0,3.0,4.0,0.0,6.0,11.0,11.0,11.0,1.0,11.0
Vigo,urbano,0,2.0,2.0,servicios,servicios,curso,1,1,2.0,3.0,0,0,0,1,1.0,4.0,0.0,0.0,11.0,12.0,13.0,2.0,12.0
A Coruña,urbano,1,4.0,3.0,profesor,otro,reputacion_centro,1,1,1.0,2.0,0,0,0,0,1.0,1.0,0.0,0.0,12.0,13.0,14.0,3.5,13.0
A Coruña,urbano,1,4.0,2.0,profesor,otro,cerca_casa,1,1,1.0,2.0,0,1,1,1,1.0,4.0,0.0,2.0,15.0,16.0,16.0,3.0,15.666666666666666
A Coruña,urbano,1,2.0,3.0,otro,otro,curso,1,1,2.0,1.0,0,0,0,0,1.0,1.0,0.0,2.0,9.0,12.0,13.0,2.5,11.333333333333334
A Coruña,rural,1,4.0,3.0,profesor,en_casa,curso,1,1,1.0,2.0,0,1,1,1,1.0,1.0,0.0,0.0,13.0,14.0,15.0,3.5,14.0
A Coruña,urbano,1,4.0,4.0,profesor,servicios,curso,1,1,1.0,3.0,0,1,1,0,1.0,3.0,0.0,0.0,13.0,12.0,13.0,4.0,12.666666666666666
A Coruña,urbano,1,2.0,1.0,servicios,otro,reputacion_centro,1,1,1.0,2.0,0,1,1,0,2.0,4.0,0.0,4.0,12.0,16.0,16.0,1.5,14.666666666666666
A Coruña,urbano,1,4.0,3.0,profesor,salud,cerca_casa,1,1,1.0,3.0,1,1,1,0,2.0,4.0,0.0,0.0,14.0,13.0,13.0,3.5,13.333333333333334
Vigo,rural,0,2.0,2.0,otro,otro,curso,1,0,1.0,3.0,0,1,0,1,2.0,2.0,0.0,2.0,11.0,11.0,11.0,2.0,11.0
A Coruña,urbano,1,2.0,1.0,servicios,otro,reputacion_centro,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0,12.0,13.0,1.5,11.666666666666666
A Coruña,rural,1,3.0,3.0,servicios,servicios,reputacion_centro,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,13.0,13.0,13.0,3.0,13.0
Vigo,rural,1,1.0,2.0,otro,otro,curso,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,11.0,11.0,1.5,10.666666666666666
A Coruña,urbano,1,2.0,2.0,otro,otro,curso,0,1,1.0,2.0,0,0,0,0,2.0,4.0,0.0,0.0,9.0,10.0,11.0,2.0,10.0
Vigo,rural,1,1.0,2.0,otro,servicios,curso,1,0,2.0,2.0,0,0,0,0,1.0,2.0,0.0,0.0,13.0,13.0,13.0,1.5,13.0
